Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Michaela Herz,1.4,Germany,coffee,2141,,,Germany,,,,FALSE
Daniel Hirschfeld,1.4,United States,fashion retail,2141,79,"Kearney, Nebraska",United States,Married,3,,FALSE
Francis Holder,1.4,France,bakeries,2141,80,"Lille, France",France,Married,3,,TRUE
Hu Chengzhong,1.4,China,manufacturing,2141,60,"Wenzhou, China",China,,,,TRUE
Hu Gengxi & family,1.4,China,Bio-Pharma,2141,57,"Shanghai, China",China,Married,,,TRUE
Huang Hongyun & family,1.4,China,real estate,2141,54,"Chongqing, China",China,Married,2,"EMBA, Chongqing Universtiy",TRUE
Huang Jian,1.4,China,home appliance,2141,54,"Shunde, China",China,,,,TRUE
Huang Weibin,1.4,China,home appliances,2141,53,"Haining, China",China,,,,TRUE
Huang Xiaofen & family,1.4,China,printed circuit boards,2141,59,"Shenzhen, China",China,Married,,,TRUE
Archie Hwang,1.4,Taiwan,semiconductors,2141,68,"Taipei, Taiwan",Taiwan,Married,,"Bachelor of Arts/Science, National Chiao Tung University",TRUE
Jay-Z,1.4,United States,Multiple,2141,51,"New York, New York",United States,Married,3,,TRUE
Johan Johannson,1.4,Norway,grocery stores,2141,54,"Oslo, Norway",Norway,Married,3,,FALSE
Scott Kapnick,1.4,United States,private equity,2141,62,"Naples, Florida",United States,,,"Doctor of Jurisprudence, The University of Chicago; Master of Business Administration, The University of Chicago; Bachelor of Arts/Economics, Williams College",TRUE
Sidney Kimmel,1.4,United States,retail,2141,93,"New York, New York",United States,Married,,"Drop Out, Temple University",TRUE
Christine Knauf,1.4,Germany,building materials,2141,,,Germany,,,,FALSE
Karl Knauf,1.4,Germany,building materials,2141,,,Germany,,,,FALSE
Andrei Kosogov,1.4,Russia,Banking,2141,60,"Moscow, Russia",Russia,Married,3,"Bachelor of Science in Engineering, Moscow Power Engineering Institute",TRUE
Guilherme Peirao Leal,1.4,Brazil,cosmetics,2141,71,"Sao Paulo, Brazil",Brazil,Divorced,5,"Bachelor of Arts/Science, Universidade de Sao Paulo",TRUE
Theodore Leonsis,1.4,United States,sports teams,2141,65,"Bethesda, Maryland",United States,Married,2,,TRUE
Li Denghai,1.4,China,seed production,2141,71,"Laizhou, China",China,Married,,,TRUE
Liang Qin & family,1.4,China,semiconductor devices,2141,49,"Yangzhou, China",China,Married,,,TRUE
Liang Yaoming,1.4,China,diagnostics,2141,57,"Guangzhou, China",China,,,,TRUE
Liu Hua,1.4,China,infant formula,2141,48,"Qiqihaer, China",China,,,,TRUE
Liu Xuejing & family,1.4,China,"copper, poultry",2141,70,"Liaocheng, China",China,Married,,,TRUE
Anatoly Lomakin,1.4,Russia,investments,2141,68,"Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Moscow Institute of International Relations",TRUE
Lu Rongfu,1.4,China,telecommunication,2141,50,"Xiamen, China",China,,,,TRUE
Antonio Marcegaglia,1.4,Italy,steel,2141,57,"Mantua, Italy",Italy,,,"Bachelor of Business Administration, Bocconi University",FALSE
Emma Marcegaglia,1.4,Italy,steel,2141,55,"Mantua, Italy",Italy,,,"Bachelor of Business Administration, Bocconi University; Master of Business Administration, New York University",FALSE
Ilson Mateus,1.4,Brazil,supermarkets,2141,58,"Sao Luis, Brazil",Brazil,Married,3,,TRUE
Terence (Terry) Matthews,1.4,Canada,telecom,2141,78,"Ottawa, Canada",Canada,Married,4,"Doctorate, Carleton College; Bachelor of Arts/Science, University of Wales",TRUE
Trevor Milton,1.4,United States,★,2141,39,"Phoenix, Arizona",United States,Married,,"Drop Out, Utah Valley University",TRUE
Nirmal Minda,1.4,India,auto parts,2141,63,"Gurgaon, India",India,Married,2,,FALSE
Robert Mouawad,1.4,Lebanon,fine jewelry,2141,76,"Manama, Bahrain",Lebanon,Married,3,,FALSE
Judith Neilson,1.4,Australia,investments,2141,75,"Sydney, Australia",Australia,Divorced,2,,FALSE
Kerr Neilson,1.4,Australia,Investments,2141,71,"Sydney, Australia",Australia,Divorced,2,"Bachelor of Arts/Science, University of Cape Town",TRUE
Vadim Novinsky,1.4,Ukraine,steel,2141,57,"Kiev, Ukraine",Ukraine,Married,3,"Bachelor of Arts/Science, Academy of Civil Aviation (Leningrad)",TRUE
John Ocampo,1.4,United States,semiconductors,2141,62,"Los Altos, California",United States,Married,3,"Bachelor of Engineering, Santa Clara University",TRUE
Jonathan Oringer,1.4,United States,stock photos,2141,47,"Miami Beach, Florida",United States,Single,,"Master of Science, Columbia University; Bachelor of Arts/Science, SUNY Stony Brook",TRUE
Andreas Pohl,1.4,Germany,mutual funds,2141,56,"Marburg, Germany",Germany,Married,3,,FALSE
"Reinfried Pohl, Jr.",1.4,Germany,mutual funds,2141,61,"Marburg, Germany",Germany,Married,5,,FALSE
Qi Jinxing,1.4,China,real estate,2141,59,"Hangzhou, China",China,Married,1,,TRUE
Qian Jinghong,1.4,China,electric scooters,2141,48,"Wuxi, China",China,Married,,,TRUE
Vito Rodriguez Rodriguez,1.4,Peru,processed milk,2141,82,"Lima, Peru",Peru,Married,3,,TRUE
Oliver Samwer,1.4,Germany,tech investments,2141,47,"Munich, Germany",Germany,Married,3,"Bachelor of Arts/Science, WHU - Otto Beisheim School of Management",TRUE
Martin Selig,1.4,United States,real estate,2141,83,"Seattle, Washington",United States,Married,3,"Bachelor of Arts/Science, University of Washington",TRUE
Airat Shaimiev,1.4,Russia,"refinery, chemicals",2141,59,"Kazan, Russia",Russia,,,"Bachelor of Arts/Science, Moscow Power Engineering Institute, Kazan",TRUE
Amnon Shashua,1.4,Israel,automotive technology,2141,60,"Kfar Shmaryahu, Israel",Israel,,,,TRUE
Nobutoshi Shimamura,1.4,Japan,retail,2141,95,"Saitama, Japan",Japan,Married,3,,TRUE
Michael Spencer,1.4,United Kingdom,stock exchange,2141,65,"London, Suffolk, United Kingdom",United Kingdom,Married,3,"Bachelor of Arts/Science, Oxford University",TRUE
Edward Stack,1.4,United States,Dick's Sporting Goods,2141,66,"Sewickley, Pennsylvania",United States,Married,,"Bachelor of Arts/Science, St. John Fisher College",TRUE
Thomas Steyer,1.4,United States,hedge funds,2141,63,"San Francisco, California",United States,Separated,4,"Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University",TRUE
Tan Ruiqing,1.4,China,chemicals,2141,54,"Zhengzhou, China",China,Married,,,TRUE
Itaru Tanimura,1.4,Japan,heathcare,2141,56,"Tokyo, Japan",Japan,,,,TRUE
Sukanto Tanoto,1.4,Indonesia,diversified,2141,71,"Singapore, Singapore",Indonesia,Married,4,,TRUE
Alexander Tedja,1.4,Indonesia,real estate,2141,75,"Jakarta, Indonesia",Indonesia,Married,4,,TRUE
Jim Thompson,1.4,United States,logistics,2141,81,"Hong Kong, Hong Kong",United States,Married,2,"Bachelor of Arts/Science, San Jose State University",TRUE
Jonathan Tisch,1.4,United States,"insurance, NFL team",2141,67,"New York, New York",United States,Married,2,,FALSE
Wilma Tisch,1.4,United States,diversified,2141,93,"New York, New York",United States,Widowed,4,"Bachelor of Arts/Science, Skidmore College",FALSE
Gisele Trajano,1.4,Brazil,retail,2141,,,Brazil,Single,,,FALSE
Jayshree Ullal,1.4,United States,computer networking,2141,60,"Saratoga, California",United States,Married,2,"Bachelor of Arts/Science, San Francisco State University; Master of Science, Santa Clara University",TRUE
Vardis Vardinoyannis & family,1.4,Greece,oil and gas,2141,88,"Athens, Greece",Greece,,5,,TRUE
Sunny Varkey,1.4,India,education,2141,64,"Dubai, United Arab Emirates",India,Married,2,,FALSE
Wang Jianfeng & family,1.4,China,auto parts,2141,,"Ningbo, China",China,,,,TRUE
Wang Junjin,1.4,China,airline,2141,52,"Shanghai, China",China,,,,TRUE
Wang Mingwang,1.4,China,electronics components,2141,54,"Shenzhen, China",China,Married,,"EMBA, Sun Yat-sen University",TRUE
Wang Xiaoshen,1.4,China,lithium,2141,52,"Urumchi, China",China,,,,TRUE
Werner O. Weber,1.4,Switzerland,electronic components,2141,82,"Zurich, Switzerland",Switzerland,,,,TRUE
Drorit Wertheim,1.4,Israel,Coca Cola Israel,2141,65,"Bnei Atarot, Israel",Israel,Divorced,2,,FALSE
"Alfred West, Jr.",1.4,United States,money management,2141,78,"Paoli, Pennsylvania",United States,Married,3,"Bachelor of Arts/Science, Georgia Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School",TRUE
Wu Po Sum,1.4,China,real estate,2141,70,"Zhengzhou, China",China,Married,,,TRUE
Xie Ketao,1.4,China,education,2141,57,"Guangzhou, China",China,,,,TRUE
Swift Xie,1.4,China,drones,2141,41,"Shenzhen, China",China,,,,TRUE
Yu Guo,1.4,China,education,2141,59,"Nanchang, China",China,,,,TRUE
"Richard Yuengling, Jr.",1.4,United States,beer,2141,78,"Pottsville, Pennsylvania",United States,Divorced,4,"Drop Out, Lycoming College",FALSE
Clayton Zekelman,1.4,Canada,steel,2141,52,"Windsor, Canada",Canada,,,,FALSE
Zheng Hong & family,1.4,China,electronics,2141,70,"Beijing, China",China,,,,TRUE
Shusheng Zheng,1.4,China,telecom,2141,55,"Hangzhou, China",China,,,"Doctorate, Zhejiang University",TRUE
Zhuo Jun,1.4,Hong Kong,printed circuit boards,2141,55,"Hong Kong, Hong Kong",Hong Kong,Widowed,,,FALSE
Inigo Zobel,1.4,Philippines,Diversified,2141,64,"Makati, Philippines",Philippines,,,,FALSE
Sanjay Agarwal,1.3,India,banking,2263,50,"Jaipur, India",India,Married,2,"Chartered Accountant, Institute of Chartered Accountants of India",TRUE
Hamad bin Jassim bin Jaber Al Thani,1.3,Qatar,investments,2263,61,"Doha, Qatar",Qatar,Married,,,FALSE
Nerio Alessandri,1.3,Italy,gym equipment,2263,60,"Cesena, Italy",Italy,Married,2,,TRUE
Mika Anttonen,1.3,Finland,oil & gas,2263,54,"Helsinki, Finland",Finland,Married,,,TRUE
Ryuji Arai,1.3,Japan,appliances,2263,74,"Tokyo, Japan",Japan,,,,TRUE
Mehmet Aydinlar,1.3,Turkey,hospitals,2263,64,"Istanbul, Turkey",Turkey,Married,1,,TRUE
Achal Bakeri,1.3,India,air coolers,2263,61,"Ahmedabad, India",India,Married,2,"Master of Business Administration, Marshall School of Business",TRUE
Elena Baturina,1.3,Russia,"investments, real estate",2263,58,"London, United Kingdom",Russia,Widowed,2,"Bachelor of Arts/Science, State University of Management",TRUE
Othman Benjelloun & family,1.3,Morocco,"banking, insurance",2263,88,"Casablanca, Morocco",Morocco,Married,2,"Diploma, Ecole Polytechnique de Lausanne",FALSE
Oleg Boyko,1.3,Russia,diversified,2263,56,"Lipperswil, Switzerland",Russia,Single,,"Master of Science, Moscow Aviation University; Master of Business Administration, Russian National Academy of National Economy and Public Administration",TRUE
Ludwig Theodor Braun,1.3,Germany,medical technology,2263,31,"Melsungen, Germany",Germany,,,,FALSE
Ana Maria Brescia Cafferata,1.3,Peru,"mining, banking",2263,97,"Lima, Peru",Peru,Single,,,FALSE
Chris Britt,1.3,United States,fintech,2263,48,"San Francisco, California",United States,,,"Bachelor of Arts/Science, Tulane University",TRUE
Rafal Brzoska,1.3,Poland,parcel lockers,2263,43,"Warsaw, Poland",Poland,,,,TRUE
Chuck Bundrant,1.3,United States,fishing,2263,79,"Seattle, Washington",United States,Married,3,"Drop Out, Middle Tennessee State University",TRUE
Pradip Burman,1.3,India,consumer goods,2263,78,"Delhi, India",India,Married,2,"Bachelor of Engineering, Massachusetts Institute of Technology",FALSE
Cao Xiaochun,1.3,China,pharmaceuticals,2263,52,"Hangzhou, China",China,,,,TRUE
Chang Pyung-soon,1.3,South Korea,educational services,2263,70,"Seoul, South Korea",South Korea,Married,2,"Bachelor of Arts/Science, Yonsei University",TRUE
Jeffrey Cheah,1.3,Malaysia,property,2263,76,"Kuala Lumpur, Malaysia",Malaysia,Married,3,"Bachelor of Arts/Science, Victoria University",TRUE
Vivien Chen,1.3,Hong Kong,real estate,2263,62,"Hong Kong, Hong Kong",Hong Kong,,3,,FALSE
Cheng Lili,1.3,China,poultry breeding,2263,56,"Changzhou, China",China,Married,,,TRUE
Cho Jung-ho,1.3,South Korea,finance,2263,62,"Seoul, South Korea",South Korea,Married,3,"Master of Business Administration, IMD; Bachelor of Arts/Science, University of Southern California",FALSE
Cho Jyh-jer,1.3,Taiwan,semiconductors,2263,,,Taiwan,Married,2,,TRUE
Chu Jian,1.3,China,Manufacturing,2263,58,"Hangzhou, China",China,,,,TRUE
Eduard Chukhlebov,1.3,Russia,metallurgy,2263,57,"Moscow, Russia",Russia,Married,,,TRUE
Turgay Ciner,1.3,Turkey,diversified,2263,65,"Istanbul, Turkey",Turkey,Married,1,"Bachelor of Arts/Science, Istanbul Academy",TRUE
Tim Cook,1.3,United States,Apple,2263,60,"Cupertino, California",United States,,,"Master of Business Administration, Fuqua School of Business",TRUE
Richard Desmond,1.3,United Kingdom,publishing,2263,69,"London, United Kingdom",United Kingdom,Married,3,,TRUE
Du Shuanghua,1.3,China,steel,2263,56,"Hengshui, China",China,,,,TRUE
Egon Durban,1.3,United States,private equity,2263,47,"Atherton, California",United States,Married,3,"Bachelor of Science, Georgetown University",TRUE
Eduardo Eurnekian,1.3,Argentina,"airports, investments",2263,88,"Buenos Aires, Argentina",Argentina,Single,,,TRUE
Fan Minhua,1.3,China,pharmaceuticals,2263,59,"Haikou, China",China,Married,,,TRUE
Feng Chenhui,1.3,United States,Electronics,2263,55,"Wuxi, China",United States,,,"Master, Tsinghua University",TRUE
Feng Yi,1.3,China,software,2263,47,"Shenzhen, China",China,,,,TRUE
John Goff,1.3,United States,real estate,2263,66,"Fort Worth, Texas",United States,Married,,"Chartered Accountant, University of Texas",TRUE
Kenneth Hao,1.3,United States,private equity,2263,52,"Hillsborough, California",United States,,,,TRUE
Ayman Hariri,1.3,Lebanon,"construction, investments",2263,42,"Paris, France",Lebanon,Married,3,"Bachelor of Arts/Science, Georgetown University",FALSE
Michael Heine,1.3,Australia,financial services,2263,71,"Melbourne, Australia",Australia,,2,,TRUE
Eduardo Hochschild,1.3,Peru,mining,2263,57,"Lima, Peru",Peru,Married,4,"Bachelor of Arts/Science, Tufts University",FALSE
Huang Dawen,1.3,Hong Kong,silicon,2263,60,"Hong Kong, Hong Kong",Hong Kong,,,,TRUE
Huang Shan,1.3,China,software,2263,,,,,,,
Jiang Ganjun,1.3,China,home & office products,2263,57,"Guangzhou, China",China,,,,TRUE
Conni Jonsson,1.3,Sweden,asset management,2263,60,"Stockholm, Sweden",Sweden,Married,,,TRUE
Zbigniew Juroszek & family,1.3,Poland,"real estate, gambling",2263,58,"Cieszyn, Poland",Poland,,,,TRUE
André Kasprzak,1.3,Denmark,shoes,2263,34,Denmark,Denmark,,,,FALSE
Anna Kasprzak,1.3,Denmark,shoes,2263,31,"Haderslev, Denmark",Denmark,In Relationship,1,,FALSE
Peter Kelly,1.3,United Kingdom,I.T.,2263,63,"Bristol, United Kingdom",United Kingdom,Married,,,TRUE
Kim Nam-jung,1.3,South Korea,food,2263,48,"Seoul, South Korea",South Korea,Married,2,"Bachelor of Arts/Science, Korea University; Master of Business Administration, University of Michigan, Stephen M. Ross School of Business",FALSE
Hemendra Kothari,1.3,India,Financial Services,2263,74,"Mumbai, India",India,Widowed,2,"Bachelor of Arts/Economics, Bombay University",FALSE
Michael Krasny,1.3,United States,retail,2263,67,"Highland Park, Illinois",United States,Married,1,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign",TRUE
Igor Kudryashkin,1.3,Russia,metallurgy,2263,59,"Moscow, Russia",Russia,Married,1,"Ph.D, Moscow Institute of Steel and Alloys",TRUE
Bernard Lewis & family,1.3,United Kingdom,fashion retailer,2263,95,"London, United Kingdom",United Kingdom,,,,TRUE
Li Tan,1.3,China,pharmaceuticals,2263,56,"Shenzhen, China",China,Married,,"Bachelor of Arts/Science, Sichuan University",TRUE
Liang Guangwei,1.3,China,conglomerate,2263,57,"Shenzhen, China",China,,,,TRUE
Liang Jiankun & family,1.3,China,cobalt mining,2263,59,"Nanjing, China",China,,,,TRUE
Liu Jilu & family,1.3,China,Logistics,2263,74,"Maanshan, China",China,,,,TRUE
Mangal Prabhat Lodha,1.3,India,real estate,2263,65,"Mumbai, India",India,Married,2,,TRUE
Brandt Louie,1.3,Canada,drugstores,2263,77,"Vancouver, Canada",Canada,Married,2,,FALSE
Lu Hongyan,1.3,China,online games,2263,43,"Xiamen, China",China,,,,TRUE
Zhaoxi Lu,1.3,China,e-commerce,2263,52,"Hangzhou, China",China,,,,TRUE
Ma Renhe,1.3,China,"textiles, apparel",2263,61,"Ningbo, China",China,,,,TRUE
Deepak Mehta,1.3,India,chemicals,2263,64,"Vadodara, India",India,Married,2,"Bachelor of Science, Bombay University",FALSE
Ulrike Meister,1.3,Germany,appliances,2263,54,"Landsberg, Germany",Germany,,,,FALSE
Lidiya Mikhailova & family,1.3,Russia,agribusiness,2263,63,"London, United Kingdom",Russia,Divorced,2,,TRUE
Alan Miller & family,1.3,United States,healthcare services,2263,,,,,,,
Martin Moller Nielsen,1.3,Denmark,aircraft leasing,2263,56,"London, United Kingdom",Denmark,Single,,,TRUE
Greg Mondre,1.3,United States,private equity,2263,46,"New York, New York",United States,Married,,,TRUE
Yoshiko Mori,1.3,Japan,real estate,2263,80,"Tokyo, Japan",Japan,Widowed,2,,FALSE
Bob Muglia,1.3,United States,software,2263,61,"Mercer Island, Washington",United States,Married,1,"Bachelor of Science, University of Michigan",TRUE
George Alexander Muthoot,1.3,India,financial services,2263,65,"Ernakulam, India",India,Married,2,"Chartered Accountant, Institute of Chartered Accountants of India; Bachelor of Commerce, University of Kerala",FALSE
George Jacob Muthoot,1.3,India,financial services,2263,68,"Trivandrum, India",India,Married,2,"Bachelor of Science in Engineering, Manipal University",FALSE
George Thomas Muthoot,1.3,India,financial services,2263,70,"Kottayam, India",India,Married,2,,FALSE
Ranjan Pai,1.3,India,education,2263,48,"Bangalore, India",India,Married,2,,FALSE
Antonio Percassi,1.3,Italy,"real estate, diversified",2263,67,"Bergamo, Italy",Italy,Divorced,6,,TRUE
Stefan Pierer,1.3,Austria,automotive,2263,64,"Wels, Austria",Austria,,,"Bachelor of Arts/Science, Montan University",TRUE
Qiu Minxiu,1.3,China,semiconductors,2263,75,"Shangyu, China",China,,,,TRUE
Lily Safra,1.3,Monaco,banking,2263,83,"Geneva, Switzerland",Monaco,Widowed,2,,FALSE
Nobutada Saji,1.3,Japan,beverages,2263,75,"Tokyo, Japan",Japan,Married,,"Master of Business Administration, Anderson School of Management",FALSE
Thomas Sandell,1.3,Sweden,hedge funds,2263,60,"London, United Kingdom",Sweden,Married,1,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Uppsala University",TRUE
Penny Sanford,1.3,United States,real estate brokerage,2263,55,"Bellingham, Washington",United States,,,,FALSE
Ilya Scherbovich,1.3,Russia,investments,2263,46,"Moscow, Russia",Russia,Married,2,"Master of Science, Plekhanov Russian University of Economics",TRUE
Gerald Schwartz,1.3,Canada,finance,2263,79,"Toronto, Canada",Canada,Married,4,"Master of Business Administration, Harvard University",TRUE
Anatoly Sedykh,1.3,Russia,steel pipes,2263,56,"Moscow, Russia",Russia,Married,2,"Bachelor of Science in Engineering, Moscow Institute of Steel and Alloys",TRUE
Radik Shaimiev,1.3,Russia,"refinery, chemicals",2263,56,"Kazan, Russia",Russia,Married,2,"Bachelor of Arts/Science, Kazan Institute of Civil Engineering",TRUE
Shao Xiaofeng,1.3,China,e-commerce,2263,55,"Hangzhou, China",China,,,,TRUE
Shi Xu,1.3,Singapore,technology,2263,57,"Singapore, Singapore",Singapore,Married,,,TRUE
Shin Chang-jae,1.3,South Korea,insurance,2263,67,"Seoul, South Korea",South Korea,Married,2,"Doctorate, Seoul National University",FALSE
Ron Sim,1.3,Singapore,retail,2263,62,"Singapore, Singapore",Singapore,Married,3,,TRUE
Jasminder Singh & family,1.3,United Kingdom,hotels,2263,70,"London, United Kingdom",United Kingdom,Married,,,TRUE
Jared Smith,1.3,United States,cloud computing,2263,46,"Provo, Utah",United States,,,"Bachelor of Science, London School of Economics",TRUE
Terry Snow,1.3,Australia,"airports, real estate",2263,77,"Canberra, Australia",Australia,Married,4,,TRUE
Petter Stordalen & family,1.3,Norway,hotels,2263,58,"Oslo, Norway",Norway,Married,,,TRUE
Dirk Stroeer,1.3,Germany,advertising,2263,52,"Cologne, Germany",Germany,,,,FALSE
Satoshi Suzuki,1.3,Japan,cosmetics,2263,67,"Tokyo, Japan",Japan,Married,,,FALSE
Tang Zhuang,1.3,United States,electronics,2263,48,"Wuxi, China",United States,,,"Bachelor of Arts/Science, Peking University; Doctorate, Univeristy of Illinois at Urbana-Champaign",TRUE
Joop van den Ende,1.3,Netherlands,TV shows,2263,79,"Baarn, Netherlands",Netherlands,Married,2,,TRUE
Masaru Wasami,1.3,Japan,logistics,2263,75,Japan,Japan,,,,TRUE
Wei Shaojun,1.3,China,real estate,2263,58,"Baoding, China",China,,,,TRUE
Farris Wilks,1.3,United States,natural gas,2263,69,"Cisco, Texas",United States,Married,11,"Diploma, High School",TRUE
Whitney Wolfe Herd,1.3,United States,dating app,2263,31,"Austin, Texas",United States,Married,1,"Bachelor of Arts/Science, Southern Methodist University",TRUE
Wu Yonghua,1.3,China,apparel,2263,50,"Xiamen, China",China,,,,TRUE
Xia Shudong,1.3,China,IT service,2263,48,"Beijing, China",China,,,"Doctorate, Beijing University",TRUE
Xiong Jun & family,1.3,China,pharmaceuticals,2263,47,"Shanghai, China",China,,,,TRUE
Xu Guangfu & family,1.3,China,Daqo Group,2263,78,"Chongqing, China",China,,,,TRUE
Yang Keng,1.3,China,real estate,2263,60,"Chengdu, China",China,Married,,"Bachelor of Arts/Science, Sichuan University",TRUE
Luis Enrique Yarur Rey,1.3,Chile,banking,2263,70,"Santiago, Chile",Chile,Married,8,"Master of Business Administration, IESE Business School",FALSE
Ye Qiongjiu,1.3,China,software,2263,66,"Hangzhou, China",China,,,,TRUE
Yeh Kuo-I,1.3,Taiwan,manufacturing,2263,80,,Taiwan,Married,2,,TRUE
Yu Bangping & family,1.3,China,coal mining,2263,53,"Liupanshui, China",China,Married,,,TRUE
Yu Jinkun & family,1.3,China,transportation equipment,2263,78,"Changzhou, China",China,,,,TRUE
Patrick Zalupski,1.3,United States,homebuilding,2263,40,"Jacksonville, Florida",United States,Married,2,"Bachelor of Science, Stetson University",TRUE
Zhang Gongyun,1.3,China,tyre manufacturing machinery,2263,58,"Gaomi, China",China,,,,TRUE
Zhou Chengjian,1.3,China,fashion retail,2263,56,"Shanghai, China",China,Married,1,"EMBA, Zhejiang University",TRUE
Zhou Xiayun & family,1.3,China,Education,2263,66,"Ningguo, China",China,,,,TRUE
Zhu Tao,1.3,China,pharmaceutical,2263,48,"Tianjin, China",China,,,"Doctorate in Pedagogical Sciences, Carnegie Mellon University; Doctorate, The University of Pittsburgh; Master of Science, Tsinghua University",TRUE
Aras Agalarov,1.2,Russia,real estate,2378,65,"Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Baku Polytechnical Instit",TRUE
Syed Mokhtar AlBukhary,1.2,Malaysia,"engineering, energy, construction",2378,69,"Kuala Lumpur, Malaysia",Malaysia,Married,5,"Drop Out, High School",TRUE
Anant Asavabhokin,1.2,Thailand,real estate,2378,70,"Bangkok, Thailand",Thailand,Married,3,,TRUE
Thomas Bailey,1.2,United States,money management,2378,84,"Aspen, Colorado",United States,Divorced,2,"Bachelor of Arts/Science, Michigan State University; Master of Business Administration, University of Western Ontario",TRUE
Shay Banon,1.2,Israel,search engine,2378,43,"Palo Alto, California",Israel,Married,,,TRUE
Sachin Bansal,1.2,India,flipkart,2378,39,"Bangalore, India",India,Married,1,"Bachelor of Science in Engineering, Indian Institute of Technology",TRUE
Christian Bertermann,1.2,Germany,used car sales,2378,37,"Berlin, Germany",Germany,,,"Bachelor of Business Administration, University of Manheim",TRUE
Cao Kejian,1.2,China,air compressors,2378,59,"Quzhou, China",China,Married,1,,TRUE
Edouard Carmignac,1.2,France,asset management,2378,73,"Paris, France",France,Married,5,,TRUE
Chen Gang,1.2,China,solar energy,2378,53,"Guangzhou, China",China,,,,TRUE
Chen Tianqiao,1.2,China,online games,2378,47,"Atherton, California",China,Married,2,"Bachelor of Arts/Science, Fudan University",TRUE
Henry Cheng,1.2,Hong Kong,diversified,2378,74,"Hong Kong, Hong Kong",Hong Kong,Married,4,"Bachelor of Arts/Science, The University of Western Ontario - Richard Ivey School of Business; Master of Business Administration, The University of Western Ontario - Richard Ivey School of Business",FALSE
Cheng Wei,1.2,China,ride-hailing service,2378,38,"Beijing, China",China,,,,TRUE
Chey Ki-won,1.2,South Korea,"computer services, telecom",2378,56,"Seoul, South Korea",South Korea,Divorced,,,FALSE
Chua Thian Poh,1.2,Singapore,real estate,2378,72,"Singapore, Singapore",Singapore,Married,4,,TRUE
Ronald Clarke,1.2,United States,payments technology,2378,65,"Duluth, Georgia",United States,Married,2,"Bachelor of Arts/Science, Colby College; Master of Business Administration, Cornell University",TRUE
Sandor Csanyi,1.2,Hungary,"finance, real estate",2378,68,"Budapest, Hungary",Hungary,Married,5,,TRUE
Diego Della Valle,1.2,Italy,shoes,2378,67,"Sant'' Elpidio A Mare, Italy",Italy,Married,2,,FALSE
Deng Hui & family,1.2,United States,software,2378,59,"Hangzhou, China",United States,Married,,"Ph.D, Washington University in St. Louis",TRUE
Carl DeSantis,1.2,United States,energy drink,2378,81,"Delray Beach, Florida",United States,,,,TRUE
Mathias Doepfner,1.2,Germany,Media,2378,58,,Germany,,,,FALSE
Aydin Dogan,1.2,Turkey,media,2378,85,"Istanbul, Turkey",Turkey,Married,4,,TRUE
Marek Dospiva,1.2,Czechia,investments,2378,51,"Prague, Czechia",Czechia,Divorced,,,TRUE
Wesley Edens,1.2,United States,investments,2378,59,"New York, New York",United States,Married,4,"Bachelor of Arts/Science, Oregon State University",TRUE
Wolfgang Egger,1.2,Germany,real estate,2378,55,"Augsburg, Germany",Germany,,1,,TRUE
Gabriel Escarrer,1.2,Spain,hotels,2378,86,"Palma de Majorca, Spain",Spain,Married,6,,TRUE
Fan Zhaoxia & family,1.2,China,photovoltaic equipment,2378,53,"Beijing, China",China,Married,,,TRUE
Clement Fayat & family,1.2,France,construction,2378,89,"Saint-Émilion, France",France,Married,,,TRUE
Gleb Fetisov,1.2,Russia,investments,2378,54,"Moscow, Russia",Russia,Married,3,"Doctorate, Moscow State University",TRUE
Benedicte Find,1.2,Denmark,medical devices,2378,,"Copenhagen, Denmark",Denmark,,,,FALSE
J. Christopher Flowers,1.2,United States,investments,2378,63,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, Harvard University",TRUE
Dan Gertler,1.2,Israel,mining,2378,47,"Bnei Brak, Israel",Israel,Married,11,"Diploma, High School",FALSE
Premchand Godha,1.2,India,pharmaceuticals,2378,74,"Mumbai, India",India,Married,2,"Chartered Accountant, Institute of Chartered Accountants of India; Bachelor of Commerce, University of Rajasthan",TRUE
Lance Gokongwei,1.2,Philippines,diversified,2378,53,"Manila, Philippines",Philippines,Married,,"Bachelor of Science, The Wharton School of the University of Pennsylvania; Bachelor of Science, University of Pennsylvania, School of Engineering and Applied Science",FALSE
Lawrence Golub,1.2,United States,private equity,2378,61,"New York, New York",United States,,,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Harvard College; Doctor of Jurisprudence, Harvard Law School",TRUE
Ryan Graves,1.2,United States,uber,2378,37,"Kauai, Hawaii",United States,Married,4,"Bachelor of Arts/Science, Miami University of Ohio",TRUE
Mehmet Nazif Gunal,1.2,Turkey,"tourism, construction",2378,73,"Istanbul, Turkey",Turkey,Married,3,,TRUE
